n_gram,pop_raw,rock_raw,country_raw,alternative_raw,punk_raw,metal_raw,rap_raw,soul_raw,jazz_raw,reggae_raw,electronic_raw,other_raw,total,pop_rel,rock_rel,country_rel,alternative_rel,punk_rel,metal_rel,rap_rel,soul_rel,jazz_rel,reggae_rel,electronic_rel,other_rel,pop_dev_ratio,pop_log_dev_ratio,pop_abs_log_dev_ratio,rock_dev_ratio,rock_log_dev_ratio,rock_abs_log_dev_ratio,country_dev_ratio,country_log_dev_ratio,country_abs_log_dev_ratio,alternative_dev_ratio,alternative_log_dev_ratio,alternative_abs_log_dev_ratio,punk_dev_ratio,punk_log_dev_ratio,punk_abs_log_dev_ratio,metal_dev_ratio,metal_log_dev_ratio,metal_abs_log_dev_ratio,rap_dev_ratio,rap_log_dev_ratio,rap_abs_log_dev_ratio,soul_dev_ratio,soul_log_dev_ratio,soul_abs_log_dev_ratio,jazz_dev_ratio,jazz_log_dev_ratio,jazz_abs_log_dev_ratio,reggae_dev_ratio,reggae_log_dev_ratio,reggae_abs_log_dev_ratio,electronic_dev_ratio,electronic_log_dev_ratio,electronic_abs_log_dev_ratio,other_dev_ratio,other_log_dev_ratio,other_abs_log_dev_ratio,max_abs_log_dev_ratio,mean_abs_log_dev_ratio
baseline,131247,81276,15884,4358,10060,3007,4013,2909,1857,2156,545,106961,364273,0.36029845747557465,0.22311837550408622,0.04360465914300538,0.011963554806422656,0.027616650149750326,0.008254797912554596,0.011016462927529627,0.007985768915071937,0.005097824982911168,0.005918637944618459,0.0014961306492657978,0.2936286795892092,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C,130002,80206,15829,4266,9933,2984,3856,2823,1824,2078,534,105943,360278,0.36083801952936345,0.2226225303793182,0.04393551646228746,0.011840856227690839,0.02757037620948268,0.008282492963766869,0.010702846135484265,0.007835615829997946,0.0050627570931336355,0.005767768223427464,0.0014821887542397815,0.29405903219180746,1.0014975419477763,0.0014964217500562137,0.0014964217500562137,0.9977776589505558,-0.002224814113988806,0.002224814113988806,1.0075876598002291,0.007559018299675111,0.007559018299675111,0.9897439698553522,-0.010308985608190569,0.010308985608190569,0.9983244187829904,-0.001676986573295474,0.001676986573295474,1.003355024739025,0.003349409200201058,0.003349409200201058,0.9715319886148167,-0.028881083671401773,0.028881083671401773,0.981197416720812,-0.01898159937663348,0.01898159937663348,0.9931210094706887,-0.006902759853350301,0.006902759853350301,0.9745093849965644,-0.025821129504636282,0.025821129504636282,0.9906813652719045,-0.009362324837970391,0.009362324837970391,1.0014656354522329,0.0014645624568788665,0.0014645624568788665,0.028881083671401773,0.009835757937189861
E7,28689,17794,4042,659,951,349,667,1068,813,308,80,29545,84965,0.3376566821632437,0.20942741128700054,0.047572529865238626,0.007756134879067851,0.011192844112281528,0.004107573706820455,0.007850291296416172,0.012569881716000706,0.00956864591302301,0.003625022067910316,0.0009415641734831989,0.3477314188195139,0.937158278525614,-0.06490309049091453,0.06490309049091453,0.938638114471056,-0.06332526865697341,0.06332526865697341,1.0909964852430163,0.08709148525364203,0.08709148525364203,0.6483135660400834,-0.4333808014608402,0.4333808014608402,0.4052933303492176,-0.903144201567122,0.903144201567122,0.49759833618377375,-0.6979620812448842,0.6979620812448842,0.712596352210169,-0.3388401448100751,0.3388401448100751,1.574035243153223,0.4536425405661564,0.4536425405661564,1.877005574945951,0.6296777277363227,0.6296777277363227,0.6124757252986525,-0.4902459695140954,0.4902459695140954,0.6293328553527437,-0.4630949804481447,0.4630949804481447,1.1842556364248726,0.16911442229941837,0.16911442229941837,0.903144201567122,0.39953522617071574
Amin,111645,62538,11172,3676,6940,2627,3433,2355,1519,1835,464,88637,296841,0.3761104429644153,0.21067844401548302,0.03763631034796406,0.01238373405291048,0.023379519675516523,0.008849855646625635,0.011565113983580436,0.00793354017807513,0.0051172176350302015,0.006181760605846227,0.0015631263875273294,0.29860093450702563,1.0438857984561662,0.042950095025145886,0.042950095025145886,0.9442451503131557,-0.057369453422717105,0.057369453422717105,0.8631258926834495,-0.14719472057326505,0.14719472057326505,1.0351216050151122,0.03451891258382204,0.03451891258382204,0.8465733370536213,-0.16655844554007035,0.16655844554007035,1.0720862873173462,0.06960655130982059,0.06960655130982059,1.049802832330126,0.04860236780358501,0.04860236780358501,0.9934597735606607,-0.0065617074318738795,0.0065617074318738795,1.0038041031585119,0.0037968858558767595,0.0037968858558767595,1.0444566239208826,0.043496773072592566,0.043496773072592566,1.044779336814207,0.04380570217582086,0.04380570217582086,1.016933819015134,0.01679204023425598,0.01679204023425598,0.16655844554007035,0.056771137919070506
Dmin7,21728,12347,1974,630,584,283,622,1030,614,234,75,18303,58424,0.3719019580994112,0.21133438313022046,0.033787484595371765,0.01078323976448035,0.00999589209913734,0.004843899767218951,0.010646309735725045,0.01762974120224565,0.010509379706969739,0.0040052033410927015,0.0012837190195809942,0.3132787895385458,1.0322052464646567,0.03169752951811596,0.03169752951811596,0.9471850207440671,-0.05426082922568236,0.05426082922568236,0.7748595049112226,-0.2550735500482372,0.2550735500482372,0.9013407752929212,-0.10387187390950885,0.10387187390950885,0.3619516503607412,-1.0162446386160253,1.0162446386160253,0.586798104391137,-0.5330744631358135,0.5330744631358135,0.9663999966014875,-0.03417745531825931,0.03417745531825931,2.2076447978568687,0.7919262449379579,0.7919262449379579,2.0615418815277264,0.7234541890039148,0.7234541890039148,0.6767103138542958,-0.3905119944617083,0.3905119944617083,0.8580260154492247,-0.15312085891745564,0.15312085891745564,1.066921630328575,0.06477752100786568,0.06477752100786568,1.0162446386160253,0.3460159290083787
Fsno3d,4408,4895,248,257,781,254,84,53,48,37,20,2537,13622,0.32359418587578914,0.35934517691968876,0.018205843488474528,0.018866539421524005,0.05733372485684921,0.018646307443840847,0.006166495375128468,0.003890764939069153,0.0035237116429305535,0.002716194391425635,0.0014682131845543973,0.1862428424607253,0.8981281467121636,-0.10744251850887429,0.10744251850887429,1.610558413702271,0.4765809596698668,0.4765809596698668,0.4175206009240167,-0.8734213923779999,0.8734213923779999,1.5770011277413525,0.4555250230988146,0.4555250230988146,2.0760564567374784,0.7304701598941157,0.7304701598941157,2.2588448126006773,0.8148535377381675,0.8148535377381675,0.5597527460214734,-0.5802601177154431,0.5802601177154431,0.48721231235803975,-0.7190552912349197,0.7190552912349197,0.6912186382903832,-0.3692990967366548,0.3692990967366548,0.45892220758246305,-0.7788745656765034,0.7788745656765034,0.9813402227104293,-0.018836067401093087,0.018836067401093087,0.6342801483876908,-0.45526454771413255,0.45526454771413255,0.8734213923779999,0.5316569398138821
Fmaj7,11636,6002,635,459,332,180,462,623,309,102,47,8812,29599,0.39312138923612283,0.20277712084867733,0.021453427480658132,0.015507280651373358,0.01121659515524173,0.006081286529950336,0.01560863542687253,0.021048008378661442,0.010439541876414743,0.003446062366971857,0.0015878914828203656,0.29771276056623536,1.0910992847166805,0.08718570611704819,0.08718570611704819,0.9088320062861144,-0.09559501345085097,0.09559501345085097,0.4919985135143402,-0.7092795838067097,0.7092795838067097,1.29621010663555,0.2594447041077206,0.2594447041077206,0.40615335655918194,-0.9010244651855013,0.9010244651855013,0.7366972025688722,-0.3055783225465782,0.3055783225465782,1.4168463625350454,0.3484335303665627,0.3484335303665627,2.6356896377174768,0.9691448698439922,0.9691448698439922,2.0478423467674896,0.7167867250967803,0.7167867250967803,0.5822390893339237,-0.540874109192876,0.540874109192876,1.0613320993053634,0.05952481659855517,0.05952481659855517,1.013908998885054,0.013813156452400015,0.013813156452400015,0.9691448698439922,0.4172237502304646
Cadd9,5019,3142,775,147,208,96,99,90,66,41,18,4177,13878,0.36165153480328577,0.22640149877503962,0.05584378152471538,0.010592304366623433,0.014987750396310708,0.006917423259835711,0.007133592736705577,0.00648508430609598,0.004755728491137051,0.0029543161838881684,0.0012970168612191958,0.3009799682951434,1.0037554346948678,0.003748400655078565,0.003748400655078565,1.014714714839313,0.01460750386259185,0.01460750386259185,1.280683821918449,0.24739417115213444,0.24739417115213444,0.8853810207762777,-0.12173719467589932,0.12173719467589932,0.5427070377848201,-0.6111856299024828,0.6111856299024828,0.8379882019055982,-0.17675125747076345,0.17675125747076345,0.6475393040064666,-0.43457578608239733,0.43457578608239733,0.8120801359348576,-0.20815625411500702,0.20815625411500702,0.9328936374000899,-0.06946408527635088,0.06946408527635088,0.4991547399134948,-0.6948391312746505,0.6948391312746505,0.8669141708016516,-0.14281530271714996,0.14281530271714996,1.025036003690848,0.024727737525530483,0.024727737525530483,0.6948391312746505,0.22916687122583643
Esus4,11728,7772,1164,372,465,286,213,202,157,97,54,9411,31921,0.3674070361204223,0.24347608157639172,0.036465023025594435,0.011653770245293068,0.014567212806616334,0.008959619059553272,0.006672723285611353,0.0063281225525516115,0.00491839228094358,0.003038751918799536,0.0016916763259296388,0.29482159080229314,1.019729694916414,0.019537587192246405,0.019537587192246405,1.0912417277434536,0.08731624761002489,0.08731624761002489,0.8362643750064443,-0.17881047784416076,0.17881047784416076,0.9741059771830293,-0.026235175115820436,0.026235175115820436,0.5274793549408103,-0.6396455519507757,0.6396455519507757,1.0853832104026102,0.08193311394692164,0.08193311394692164,0.6057046921055331,-0.5013627184418934,0.5013627184418934,0.7924249524185746,-0.23265747497839862,0.23265747497839862,0.964802106276877,-0.035832269888799506,0.035832269888799506,0.5134208152675619,-0.6666594674099068,0.6666594674099068,1.1307009362850777,0.12283773801662856,0.12283773801662856,1.004062652240758,0.004054421952811451,0.004054421952811451,0.6666594674099068,0.21640685369569904
Gadd11,1343,696,70,25,37,29,20,14,13,11,5,1037,3300,0.406969696969697,0.2109090909090909,0.021212121212121213,0.007575757575757576,0.011212121212121211,0.008787878787878787,0.006060606060606061,0.004242424242424243,0.00393939393939394,0.0033333333333333335,0.0015151515151515152,0.31424242424242427,1.1295349411738358,0.12180599152830508,0.12180599152830508,0.9452788925725586,-0.05627527061363227,0.05627527061363227,0.48646455743534567,-0.720591232146931,0.720591232146931,0.6332363330412895,-0.4569115725815124,0.4569115725815124,0.4059913549008976,-0.9014234129546538,0.9014234129546538,1.0645783071822312,0.0625787650527969,0.0625787650527969,0.5501408301807006,-0.5975809786580737,0.5975809786580737,0.5312480598352033,-0.6325262108250908,0.6325262108250908,0.7727597460876945,-0.2577870858363169,0.2577870858363169,0.5631926406926407,-0.5741335411756651,0.5741335411756651,1.0127133722546566,0.012633235825708326,0.012633235825708326,1.0702034443026955,0.06784876526280503,0.06784876526280503,0.9014234129546538,0.37184133853845763
Bbmin9,1182,808,46,63,37,20,42,98,63,10,4,912,3285,0.3598173515981735,0.24596651445966514,0.014003044140030441,0.019178082191780823,0.011263318112633182,0.0060882800608828,0.012785388127853882,0.029832572298325723,0.019178082191780823,0.0030441400304414,0.0012176560121765602,0.2776255707762557,0.9986647018120144,-0.0013361904930283537,0.0013361904930283537,1.1024036630956937,0.09749294410890419,0.09749294410890419,0.32113642017258304,-1.1358892611713343,1.1358892611713343,1.6030421143291822,0.47190314547768036,0.47190314547768036,0.4078451967040981,-0.896867596418793,0.896867596418793,0.737544410581297,-0.3044289748438254,0.3044289748438254,1.1605710664086013,0.14891218260716438,0.14891218260716438,3.7357169504393286,1.3179397547660832,1.3179397547660832,3.762012673261484,1.3249540996295397,1.3249540996295397,0.5143311787147403,-0.6648879044441294,0.6648879044441294,0.8138701073827379,-0.2059544989526405,0.2059544989526405,0.9454988224061013,-0.056042636356530263,0.056042636356530263,1.3249540996295397,0.5522174324391377
Eaug,763,491,50,24,20,14,17,43,35,4,2,655,2118,0.3602455146364495,0.23182247403210576,0.023607176581680833,0.0113314447592068,0.009442870632672332,0.0066100094428706326,0.008026440037771483,0.020302171860245515,0.016525023607176583,0.0018885741265344666,0.0009442870632672333,0.3092540132200189,0.9998530583797219,-0.00014695241725564418,0.00014695241725564418,1.0390111236170243,0.03826941813968857,0.03826941813968857,0.5413911505249699,-0.6136132474749241,0.6136132474749241,0.9471636936141666,-0.054283345808547684,0.054283345808547684,0.3419267210711181,-1.0731588307516675,1.0731588307516675,0.8007475789101476,-0.22220951402519865,0.22220951402519865,0.728585943652911,-0.3166496868626286,0.3166496868626286,2.542293932639125,0.9330667965464327,0.9330667965464327,3.241583158027483,1.17606183948478,1.17606183948478,0.31908931484002306,-1.1422842315609252,1.1422842315609252,0.6311528099037521,-0.4602072747552267,0.4602072747552267,1.053214603058086,0.05184701396174933,0.05184701396174933,1.17606183948478,0.5068165126490854
Fmin11,401,306,21,12,11,9,15,29,17,6,0,352,1179,0.34011874469889736,0.2595419847328244,0.017811704834605598,0.010178117048346057,0.009329940627650551,0.007633587786259542,0.01272264631043257,0.024597116200169637,0.01441899915182358,0.005089058524173028,0.0,0.29855810008481765,0.9439916759065078,-0.05763793077116276,0.05763793077116276,1.163247913339487,0.15121601792152953,0.15121601792152953,0.4084816894495269,-0.8953081895556663,0.8953081895556663,0.850760264238679,-0.16162490074451208,0.16162490074451208,0.33783752109902077,-1.085190205883307,1.085190205883307,0.92474556822884,-0.07823664068025703,0.07823664068025703,1.1548757885472722,0.14399279580734606,0.14399279580734606,3.080118703879132,1.1249681364633253,1.1249681364633253,2.8284610005558593,1.039732747675563,1.039732747675563,0.8598360926605202,-0.15101349782877999,0.15101349782877999,0.0,,,1.0167879394564072,0.016648579548575324,0.016648579548575324,1.1249681364633253,0.4459608766254568
Ab13,572,476,26,24,20,8,15,54,64,7,5,531,1802,0.3174250832408435,0.2641509433962264,0.014428412874583796,0.013318534961154272,0.011098779134295227,0.004439511653718091,0.008324084350721421,0.029966703662597113,0.03551609322974473,0.00388457269700333,0.002774694783573807,0.2946725860155383,0.8810059456398377,-0.1266909043288463,0.1266909043288463,1.1839049240092228,0.16881823256965653,0.16881823256965653,0.33089154136636006,-1.1059646268885195,1.1059646268885195,1.1132589917174278,0.10729174218452085,0.10729174218452085,0.40188723375617547,-0.9115837427585989,0.9115837427585989,0.5378098532207682,-0.6202502139675528,0.6202502139675528,0.75560408140801,-0.28023774182356614,0.28023774182356614,3.752513249668353,1.3224258154102133,1.3224258154102133,6.966911054969737,1.9411719493481066,1.9411719493481066,0.6563288265563516,-0.42109335563243394,0.42109335563243394,1.8545805374252868,0.6176585451119967,0.6176585451119967,1.0035551923190527,0.003548887561504918,0.003548887561504918,1.9411719493481066,0.6355613131321264
C13b,43,26,2,1,0,2,1,4,6,1,0,43,129,0.3333333333333333,0.20155038759689922,0.015503875968992248,0.007751937984496124,0.0,0.015503875968992248,0.007751937984496124,0.031007751937984496,0.046511627906976744,0.007751937984496124,0.0,0.3333333333333333,0.9251589242674753,-0.07778974620847066,0.07778974620847066,0.9033338788951876,-0.10166304983367046,0.10166304983367046,0.3555554904843058,-1.0340739505434453,1.0340739505434453,0.6479627593910868,-0.4339220543568137,0.4339220543568137,0.0,,,1.8781654176430704,0.6302954587191677,0.6302954587191677,0.7036685037195007,-0.35144790911916524,0.35144790911916524,3.882876184842017,1.3565761637724405,1.3565761637724405,9.12381811123217,2.2108883690231007,2.2108883690231007,1.3097503271921878,0.26983652911886385,0.26983652911886385,0.0,,,1.135220625586273,0.12682701581973954,0.12682701581973954,2.2108883690231007,0.6593320246514878
Edim7,2493,1528,122,70,91,49,74,171,150,26,11,2308,7093,0.35147328351896234,0.2154236571267447,0.01720005639362752,0.009868884816015791,0.012829550260820527,0.006908219371211053,0.010432821091216692,0.024108275764838573,0.021147610320033837,0.003665585788805865,0.0015508247568024813,0.32539123079092064,0.9755059346674817,-0.024799035218889806,0.024799035218889806,0.9655128433059041,-0.03509587496910124,0.03509587496910124,0.39445455443690997,-0.9302513432105486,0.9302513432105486,0.8249124090372923,-0.19247806914786925,0.19247806914786925,0.464558525065594,-0.7666677328295434,0.7666677328295434,0.836873227472286,-0.17808268057056556,0.17808268057056556,0.9470209412810312,-0.05443407275541007,0.05443407275541007,3.018904756852885,1.1048941023147951,1.1048941023147951,4.148359426014909,1.4227129370508869,1.4227129370508869,0.6193292820248975,-0.47911818970006875,0.47911818970006875,1.036557039696716,0.03590468244246336,0.03590468244246336,1.1081725097362687,0.10271227091375268,0.10271227091375268,1.4227129370508869,0.44392924926032445
Edim,2272,1348,159,60,71,51,67,146,160,17,16,2303,6670,0.3406296851574213,0.20209895052473764,0.02383808095952024,0.008995502248875561,0.010644677661169416,0.007646176911544228,0.010044977511244379,0.021889055472263868,0.0239880059970015,0.002548725637181409,0.0023988005997001498,0.34527736131934034,0.9454097792814261,-0.05613681660898828,0.05613681660898828,0.9057924972254756,-0.09894503093089731,0.09894503093089731,0.5466865566209592,-0.6038796634311563,0.6038796634311563,0.7519088092484276,-0.2851402266827103,0.2851402266827103,0.3854442013585653,-0.9533588400126605,0.9533588400126605,0.9262706358825907,-0.07658882366444911,0.07658882366444911,0.9118151240851043,-0.09231802427619627,0.09231802427619627,2.741007873512539,1.008325689812889,1.008325689812889,4.705537376707446,1.5487399804808755,1.5487399804808755,0.43062705660156936,-0.8425128613729174,0.8425128613729174,1.6033363134946288,0.4720866541762914,0.4720866541762914,1.1758979463531574,0.16203206539886503,0.16203206539886503,1.5487399804808755,0.5166720564040748
